Season,DayDate,Date,HomeTeam,Score,HomeGoal,AwayGoal,FTResult,AwayTeam,Over2.5,TotalGoals,BTTS,WinMargin
2021,Sa 24 Jul,24/7/2021,Hougang ,1 - 4,1,4,A, Tanjong Pagar,+,5,+,3
2021,Su 25 Jul,25/7/2021,Geylang ,3 - 1,3,1,H, Khalsa,+,4,+,2
2021,Fr 30 Jul,30/7/2021,Hougang ,1 - 2,1,2,A, A. Niigata (S),+,3,+,1
2021,Sa 31 Jul,31/7/2021,Khalsa ,2 - 3,2,3,A, Young Lions,+,5,+,1
2021,Su 1 Aug,1/8/2021,Tanjong Pagar ,1 - 3,1,3,A, Geylang,+,4,+,2
2021,Fr 6 Aug,6/8/2021,A. Niigata (S) ,1 - 2,1,2,A, Tanjong Pagar,+,3,+,1
2021,Sa 7 Aug,7/8/2021,Young Lions ,0 - 1,0,1,A, Hougang,-,1,-,1
2021,Su 8 Aug,8/8/2021,Khalsa ,1 - 1,1,1,D, Lion City,-,2,+,0
2021,Fr 13 Aug,13/8/2021,A. Niigata (S) ,4 - 1,4,1,H, Hougang,+,5,+,3
2021,Sa 14 Aug,14/8/2021,Geylang ,2 - 4,2,4,A, Tanjong Pagar,+,6,+,2
2021,Sa 14 Aug,14/8/2021,Young Lions ,4 - 2,4,2,H, Khalsa,+,6,+,2
2021,Su 15 Aug,15/8/2021,Lion City ,4 - 1,4,1,H, Tampines Rovers,+,5,+,3
2021,Th 19 Aug,19/8/2021,Khalsa ,5 - 2,5,2,H, Tampines Rovers,+,7,+,3
2021,Fr 20 Aug,20/8/2021,Hougang ,2 - 1,2,1,H, Geylang,+,3,+,1
2021,Fr 20 Aug,20/8/2021,Tanjong Pagar ,1 - 2,1,2,A, Lion City,+,3,+,1
2021,Su 22 Aug,22/8/2021,Young Lions ,0 - 1,0,1,A, A. Niigata (S),-,1,-,1
2021,We 25 Aug,25/8/2021,Geylang ,3 - 1,3,1,H, Tampines Rovers,+,4,+,2
2021,Fr 27 Aug,27/8/2021,Lion City ,1 - 1,1,1,D, Hougang,-,2,+,0
2021,Sa 28 Aug,28/8/2021,A. Niigata (S) ,4 - 0,4,0,H, Khalsa,+,4,-,4
2021,Sa 28 Aug,28/8/2021,Geylang ,2 - 3,2,3,A, Young Lions,+,5,+,1
2021,Su 29 Aug,29/8/2021,Tampines Rovers ,2 - 2,2,2,D, Tanjong Pagar,+,4,+,0
2021,Sa 11 Sep,11/9/2021,A. Niigata (S) ,5 - 0,5,0,H, Geylang,+,5,-,5
2021,Sa 11 Sep,11/9/2021,Hougang ,7 - 3,7,3,H, Tampines Rovers,+,10,+,4
2021,Su 12 Sep,12/9/2021,Khalsa ,1 - 0,1,0,H, Tanjong Pagar,-,1,-,1
2021,Su 12 Sep,12/9/2021,Young Lions ,1 - 3,1,3,A, Lion City,+,4,+,2
2021,Fr 17 Sep,17/9/2021,Lion City ,1 - 1,1,1,D, A. Niigata (S),-,2,+,0
2021,Sa 18 Sep,18/9/2021,Tampines Rovers ,2 - 1,2,1,H, Young Lions,+,3,+,1
2021,Sa 18 Sep,18/9/2021,Tanjong Pagar ,1 - 1,1,1,D, Hougang,-,2,+,0
2021,Tu 21 Sep,21/9/2021,Tampines Rovers ,1 - 6,1,6,A, Lion City,+,7,+,5
2021,Fr 24 Sep,24/9/2021,A. Niigata (S) ,0 - 0,0,0,D, Tampines Rovers,-,0,-,0
2021,Su 26 Sep,26/9/2021,Geylang ,0 - 3,0,3,A, Lion City,+,3,-,3
2021,Su 26 Sep,26/9/2021,Young Lions ,1 - 2,1,2,A, Tanjong Pagar,+,3,+,1
2021,Su 3 Oct,3/10/2021,Geylang ,3 - 0,3,0,H, Khalsa,+,3,-,3
2021,We 6 Oct,6/10/2021,Khalsa ,3 - 2,3,2,H, Hougang,+,5,+,1
2021,Su 10 Oct,10/10/2021,Hougang ,1 - 3,1,3,A, Young Lions,+,4,+,2
2021,Su 10 Oct,10/10/2021,Lion City ,4 - 1,4,1,H, Khalsa,+,5,+,3
2021,Su 10 Oct,10/10/2021,Tampines Rovers ,1 - 1,1,1,D, Geylang,-,2,+,0
2021,Su 10 Oct,10/10/2021,Tanjong Pagar ,4 - 4,4,4,D, A. Niigata (S),+,8,+,0
2022,Fr 25 Feb,25/2/2022,A. Niigata (S) ,0 - 2,0,2,A, Tanjong Pagar,-,2,-,2
2022,Sa 26 Feb,26/2/2022,Khalsa ,2 - 2,2,2,D, Tampines Rovers,+,4,+,0
2022,Su 27 Feb,27/2/2022,Lion City ,3 - 1,3,1,H, Hougang,+,4,+,2
2022,Fr 4 Mar,4/3/2022,Geylang ,1 - 0,1,0,H, Lion City,-,1,-,1
2022,Sa 5 Mar,5/3/2022,A. Niigata (S) ,6 - 0,6,0,H, Khalsa,+,6,-,6
2022,Su 6 Mar,6/3/2022,Tanjong Pagar ,2 - 2,2,2,D, Hougang,+,4,+,0
2022,Fr 11 Mar,11/3/2022,Hougang ,3 - 2,3,2,H, Geylang,+,5,+,1
2022,Sa 12 Mar,12/3/2022,Khalsa ,3 - 5,3,5,A, Tanjong Pagar,+,8,+,2
2022,Sa 12 Mar,12/3/2022,Young Lions ,0 - 5,0,5,A, A. Niigata (S),+,5,-,5
2022,Su 13 Mar,13/3/2022,Lion City ,1 - 0,1,0,H, Tampines Rovers,-,1,-,1
2022,Fr 18 Mar,18/3/2022,A. Niigata (S) ,1 - 1,1,1,D, Lion City,-,2,+,0
2022,Fr 18 Mar,18/3/2022,Tampines Rovers ,7 - 1,7,1,H, Hougang,+,8,+,6
2022,Sa 19 Mar,19/3/2022,Khalsa ,4 - 3,4,3,H, Young Lions,+,7,+,1
