Season,DayDate,Date,HomeTeam,Score,HomeGoal,AwayGoal,FTResult,AwayTeam,Over2.5,TotalGoals,BTTS,WinMargin
2022,We 3 Aug,3/8/2022,Geylang ,1 - 4,1,4,A, Tampines Rovers,+,5,+,3
2022,Fr 5 Aug,5/8/2022,Hougang ,3 - 3,3,3,D, A. Niigata (S),+,6,+,0
2022,Sa 6 Aug,6/8/2022,Lion City ,4 - 0,4,0,H, Khalsa,+,4,-,4
2022,Su 7 Aug,7/8/2022,Young Lions ,4 - 2,4,2,H, Tanjong Pagar,+,6,+,2
2022,We 10 Aug,10/8/2022,A. Niigata (S) ,7 - 1,7,1,H, Young Lions,+,8,+,6
2022,Fr 12 Aug,12/8/2022,Khalsa ,6 - 1,6,1,H, Hougang,+,7,+,5
2022,Sa 13 Aug,13/8/2022,Tanjong Pagar ,3 - 4,3,4,A, Tampines Rovers,+,7,+,1
2022,Sa 13 Aug,13/8/2022,Young Lions ,1 - 10,1,0,H, Lion City,+,11,+,1
2022,Su 14 Aug,14/8/2022,A. Niigata (S) ,2 - 2,2,2,D, Geylang,+,4,+,0
2022,Fr 19 Aug,19/8/2022,A. Niigata (S) ,4 - 2,4,2,H, Tampines Rovers,+,6,+,2
2022,Sa 20 Aug,20/8/2022,Hougang ,5 - 1,5,1,H, Young Lions,+,6,+,4
2022,Sa 20 Aug,20/8/2022,Lion City ,7 - 0,7,0,H, Tanjong Pagar,+,7,-,7
2022,Su 21 Aug,21/8/2022,Geylang ,3 - 0,3,0,H, Khalsa,+,3,-,3
2022,We 24 Aug,24/8/2022,Young Lions ,0 - 1,0,1,A, Tampines Rovers,-,1,-,1
2022,Fr 26 Aug,26/8/2022,Hougang ,4 - 9,4,9,A, Lion City,+,13,+,5
2022,Sa 27 Aug,27/8/2022,Tanjong Pagar ,1 - 2,1,2,A, A. Niigata (S),+,3,+,1
2022,Sa 27 Aug,27/8/2022,Geylang ,3 - 0,3,0,H, Young Lions,+,3,-,3
2022,Su 28 Aug,28/8/2022,Tampines Rovers ,2 - 1,2,1,H, Khalsa,+,3,+,1
2022,Fr 2 Sep,2/9/2022,Khalsa ,3 - 5,3,5,A, A. Niigata (S),+,8,+,2
2022,Sa 3 Sep,3/9/2022,Hougang ,3 - 3,3,3,D, Tanjong Pagar,+,6,+,0
2022,Sa 3 Sep,3/9/2022,Young Lions ,0 - 7,0,7,A, Tampines Rovers,+,7,-,7
2022,Su 4 Sep,4/9/2022,Lion City ,1 - 3,1,3,A, Geylang,+,4,+,2
2022,Fr 9 Sep,9/9/2022,Tanjong Pagar ,3 - 1,3,1,H, Khalsa,+,4,+,2
2022,Sa 10 Sep,10/9/2022,A. Niigata (S) ,2 - 1,2,1,H, Young Lions,+,3,+,1
2022,Sa 10 Sep,10/9/2022,Tampines Rovers ,2 - 1,2,1,H, Lion City,+,3,+,1
2022,Su 11 Sep,11/9/2022,Geylang ,2 - 4,2,4,A, Hougang,+,6,+,2
2022,Sa 1 Oct,1/10/2022,Tampines Rovers ,0 - 0,0,0,D, Geylang,-,0,-,0
2022,Sa 1 Oct,1/10/2022,Tanjong Pagar ,8 - 1,8,1,H, Young Lions,+,9,+,7
2022,Su 2 Oct,2/10/2022,A. Niigata (S) ,1 - 1,1,1,D, Hougang,-,2,+,0
2022,Su 2 Oct,2/10/2022,Khalsa ,5 - 3,5,3,H, Lion City,+,8,+,2
2022,Fr 7 Oct,7/10/2022,Lion City ,2 - 4,2,4,A, A. Niigata (S),+,6,+,2
2022,Sa 8 Oct,8/10/2022,Hougang ,1 - 4,1,4,A, Tampines Rovers,+,5,+,3
